,Discipline,Gender,Gender,Gender
,Discipline,F,M,Total
0,3x3 Basketball,32,32,64
1,Archery,64,64,128
2,Artistic Gymnastics,98,98,196
3,Artistic Swimming,104,0,104
4,Athletics,951,1066,2017
5,Badminton,86,87,173
6,Baseball/Softball,90,144,234
7,Basketball,144,144,288
8,Beach Volleyball,48,48,96
9,Boxing,102,187,289
10,Canoe Slalom,41,41,82
11,Canoe Sprint,122,126,248
12,Cycling BMX Freestyle,9,9,18
13,Cycling BMX Racing,24,24,48
14,Cycling Mountain Bike,38,38,76
15,Cycling Road,70,131,201
16,Cycling Track,92,103,195
17,Diving,72,71,143
18,Equestrian,74,123,197
19,Fencing,128,133,261
20,Football,264,344,608
21,Golf,60,60,120
22,Handball,172,173,345
23,Hockey,192,192,384
24,Judo,192,201,393
25,Karate,39,42,81
26,Marathon Swimming,25,26,51
27,Modern Pentathlon,36,36,72
28,Rhythmic Gymnastics,96,0,96
29,Rowing,257,264,521
30,Rugby Sevens,156,156,312
31,Sailing,175,175,350
32,Shooting,178,178,356
33,Skateboarding,40,40,80
34,Sport Climbing,20,20,40
35,Surfing,20,20,40
36,Swimming,401,479,880
37,Table Tennis,88,86,174
38,Taekwondo,65,65,130
39,Tennis,94,96,190
40,Trampoline Gymnastics,16,16,32
41,Triathlon,55,55,110
42,Volleyball,144,144,288
43,Water Polo,130,156,286
44,Weightlifting,98,99,197
45,Wrestling,96,193,289
46,Total,5498,5985,11483
