Discipline,F,M,Total,Team/NOC
3x3 Basketball,4,0,4,United States of America
Archery,3,3,6,United States of America
Artistic Gymnastics,6,5,11,United States of America
Artistic Swimming,2,0,2,United States of America
Athletics,65,63,128,United States of America
Badminton,1,3,4,United States of America
Baseball/Softball,15,24,39,United States of America
Basketball,12,12,24,United States of America
Beach Volleyball,4,4,8,United States of America
Boxing,5,5,10,United States of America
Canoe Slalom,1,2,3,United States of America
Canoe Sprint,1,0,1,United States of America
Cycling BMX Freestyle,2,2,4,United States of America
Cycling BMX Racing,3,2,5,United States of America
Cycling Mountain Bike,3,1,4,United States of America
Cycling Road,5,2,7,United States of America
Cycling Track,6,2,8,United States of America
Diving,6,5,11,United States of America
Equestrian,4,5,9,United States of America
Fencing,12,11,23,United States of America
Football,22,0,22,United States of America
Golf,4,4,8,United States of America
Judo,3,1,4,United States of America
Karate,1,3,4,United States of America
Marathon Swimming,2,1,3,United States of America
Modern Pentathlon,1,1,2,United States of America
Rhythmic Gymnastics,7,0,7,United States of America
Rowing,24,13,37,United States of America
Rugby Sevens,13,13,26,United States of America
Sailing,7,6,13,United States of America
Shooting,9,11,20,United States of America
Skateboarding,6,6,12,United States of America
Sport Climbing,2,2,4,United States of America
Surfing,2,2,4,United States of America
Swimming,26,24,50,United States of America
Table Tennis,3,3,6,United States of America
Taekwondo,2,0,2,United States of America
Tennis,5,6,11,United States of America
Trampoline Gymnastics,1,1,2,United States of America
Triathlon,3,2,5,United States of America
Volleyball,12,12,24,United States of America
Water Polo,13,13,26,United States of America
Weightlifting,4,4,8,United States of America
Wrestling,6,9,15,United States of America
3x3 Basketball,4,4,8,People's Republic of China
Archery,3,3,6,People's Republic of China
Artistic Gymnastics,6,6,12,People's Republic of China
Artistic Swimming,8,0,8,People's Republic of China
Athletics,27,23,50,People's Republic of China
Badminton,8,6,14,People's Republic of China
Basketball,12,0,12,People's Republic of China
Beach Volleyball,4,0,4,People's Republic of China
Boxing,3,3,6,People's Republic of China
Canoe Slalom,2,1,3,People's Republic of China
Canoe Sprint,9,6,15,People's Republic of China
Cycling Mountain Bike,1,1,2,People's Republic of China
Cycling Road,1,1,2,People's Republic of China
Cycling Track,3,1,4,People's Republic of China
Diving,5,5,10,People's Republic of China
Equestrian,0,6,6,People's Republic of China
Fencing,9,5,14,People's Republic of China
Football,22,0,22,People's Republic of China
Golf,2,2,4,People's Republic of China
Hockey,16,0,16,People's Republic of China
Judo,6,0,6,People's Republic of China
Karate,2,0,2,People's Republic of China
Marathon Swimming,1,0,1,People's Republic of China
Modern Pentathlon,2,2,4,People's Republic of China
Rhythmic Gymnastics,5,0,5,People's Republic of China
Rowing,21,7,28,People's Republic of China
Rugby Sevens,13,0,13,People's Republic of China
Sailing,7,5,12,People's Republic of China
Shooting,14,10,24,People's Republic of China
Skateboarding,2,0,2,People's Republic of China
Sport Climbing,1,1,2,People's Republic of China
Swimming,18,11,29,People's Republic of China
Table Tennis,4,3,7,People's Republic of China
Taekwondo,4,2,6,People's Republic of China
Tennis,5,0,5,People's Republic of China
Trampoline Gymnastics,2,2,4,People's Republic of China
Triathlon,1,0,1,People's Republic of China
Volleyball,12,0,12,People's Republic of China
Water Polo,13,0,13,People's Republic of China
Weightlifting,4,4,8,People's Republic of China
Wrestling,6,5,11,People's Republic of China
3x3 Basketball,4,4,8,japan
Archery,3,3,6,japan
Artistic Gymnastics,5,6,11,japan
Artistic Swimming,8,0,8,japan
Athletics,22,44,66,japan
Badminton,7,6,13,japan
Baseball/Softball,15,24,39,japan
Basketball,12,12,24,japan
Beach Volleyball,2,2,4,japan
Boxing,2,4,6,japan
Canoe Slalom,2,2,4,japan
Canoe Sprint,3,5,8,japan
Cycling BMX Freestyle,1,1,2,japan
Cycling BMX Racing,1,1,2,japan
Cycling Mountain Bike,1,1,2,japan
Cycling Road,2,2,4,japan
Cycling Track,3,3,6,japan
Diving,5,6,11,japan
Equestrian,0,9,9,japan
Fencing,9,12,21,japan
Football,22,22,44,japan
Golf,2,2,4,japan
Handball,15,14,29,japan
Hockey,16,16,32,japan
Judo,7,7,14,japan
Karate,4,4,8,japan
