Discipline,Gender,Gender,Gender
Discipline,F,M,Total
3x3 Basketball,32,32,64
Archery,64,64,128
Artistic Gymnastics,98,98,196
Artistic Swimming,104,0,104
Athletics,951,1066,2017
Badminton,86,87,173
Baseball/Softball,90,144,234
Basketball,144,144,288
Beach Volleyball,48,48,96
Boxing,102,187,289
Canoe Slalom,41,41,82
Canoe Sprint,122,126,248
Cycling BMX Freestyle,9,9,18
Cycling BMX Racing,24,24,48
Cycling Mountain Bike,38,38,76
Cycling Road,70,131,201
Cycling Track,92,103,195
Diving,72,71,143
Equestrian,74,123,197
Fencing,128,133,261
Football,264,344,608
Golf,60,60,120
Handball,172,173,345
Hockey,192,192,384
Judo,192,201,393
Karate,39,42,81
Marathon Swimming,25,26,51
Modern Pentathlon,36,36,72
Rhythmic Gymnastics,96,0,96
Rowing,257,264,521
Rugby Sevens,156,156,312
Sailing,175,175,350
Shooting,178,178,356
Skateboarding,40,40,80
Sport Climbing,20,20,40
Surfing,20,20,40
Swimming,401,479,880
Table Tennis,88,86,174
Taekwondo,65,65,130
Tennis,94,96,190
Trampoline Gymnastics,16,16,32
Triathlon,55,55,110
Volleyball,144,144,288
Water Polo,130,156,286
Weightlifting,98,99,197
Wrestling,96,193,289
Total,5498,5985,11483
